Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Tested,B. burgdorferi (%),A. phagocytophilum (%),B. microti (%),B. miyamotoi (%),County Centroid
2018,Livingston,2,4,0.7,2,0,50,0,0,"(42.7274845, -77.7697795)"
2018,Monroe,2,118,19.5,101,19.8,3,1,3,"(43.174966, -77.639663)"
2018,Montgomery,3,118,10.3,79,25.3,3.8,7.6,0,"(42.9008912, -74.4353575)"
2018,Niagara,3,3,0.5,2,0,0,0,0,"(43.203001, -78.71083)"
2018,Onondaga,1,63,14.9,50,30,0,0,0,"(43.0065299, -76.1961167)"
2018,Orange,1,108,55,50,36,16,18,2,"(41.4024096, -74.3062522)"
2018,Orleans,2,4,1.4,4,50,0,0,0,"(43.209007, -78.254897)"
2018,Oswego,1,82,7,50,40,0,0,0,"(43.4614428, -76.209258)"
2018,Otsego,3,222,14.4,61,27.9,0,1.6,0,"(42.6297762, -75.028841)"
2018,Rensselaer,4,46,3.8,26,34.6,0,11.5,0,"(42.7104206, -73.5138454)"
2018,Rockland,1,105,19,50,8,10,14,6,"(41.1547851, -74.0247721)"
2018,Saratoga,12,1412,8.5,115,22.6,2.6,3.5,1.7,"(43.1061353, -73.8553872)"
2018,Schenectady,3,491,30.7,91,18.7,13.2,3.3,0,"(42.8175421, -74.0435834)"
2018,Schoharie,3,192,18,70,37.1,8.6,10,0,"(42.591294, -74.4381718)"
2018,Schuyler,1,108,8.4,49,18.4,2,0,0,"(42.419776, -76.9386038)"
2018,St Lawrence,1,5,0,0,,,,,"(44.4881125, -75.074311)"
2018,Steuben,4,5,1.2,5,0,0,0,0,"(42.2667252, -77.3855253)"
2018,Suffolk,9,7439,74.6,451,27.1,3.5,24.2,2.9,"(40.943554, -72.6922184)"
2018,Sullivan,1,101,12.8,50,30,0,2,0,"(41.7201763, -74.7646796)"
2018,Tioga,3,105,6.3,67,19.4,3,0,3,"(42.1780568, -76.2974503)"
2018,Tompkins,1,69,21,50,30,2,0,0,"(42.4532811, -76.4737116)"
2018,Ulster,1,58,4.3,50,24,2,6,4,"(41.9472321, -74.265447)"
2018,Warren,3,1035,1.6,51,11.8,19.6,3.9,0,"(43.5551053, -73.8381388)"
2018,Washington,3,72,4.2,63,23.8,3.2,1.6,1.6,"(43.3123766, -73.4394282)"
2018,Westchester,1,150,178.6,50,20,10,26,2,"(41.1527698, -73.745912)"
2018,Wyoming,2,9,4.5,9,11.1,0,0,0,"(42.7013627, -78.2285667)"
