"","county.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","num.phases"
"1","Clayton",2002,2013,7,-0.28343687992258,1.84233971949779,-0.388034421687274,1.7377421777331,0.0363636363636364,0.0363636363636364,2
"3","Winneshiek",2000,2013,8,-0.327102891668833,1.63551445834145,-0.433193415789827,1.52942393422045,0,0,1
